"<gorodru>","<tell>","<gorodkz>","<vuzru>","<regionkz>","<addressru>","<id>","<vuzkz>","<regionru>","<addresskz>"
"Алматы","8 (727) 272 04 89","Алматы","Казахстанско-Британский технический университет","Алматы қаласы","Алматы, ул. Толе би, 59","30","Қазақ-Британ техникалық университеті","город Алматы","Алматы қ.,   Төле би көшесі, 59"
"Алматы","8 (727) 2445121","Алматы","Международный университет информационных технологий","Алматы қаласы","Алматы, пр. Абая, 8А","35","Халықаралық ақпараттық технологиялар   университеті ","город Алматы","Алматы қ.,  Абай даңғылы, 8 А"
"Алматы","8 (7272) 260-70-00","Алматы","Университет ""Туран""","Алматы қаласы","Алматы, ул. Сатпаева, 16-18, 18а","40","«Туран» университеті","город Алматы","Алматы қ. Сәтпаев көшесі 16-18, 18а"
"Алматы","8 727 355 05 51","Алматы","Казахстанско-Немецкий университет ","Алматы қаласы","Алматы, ул. Пушкина, 111","45","Қазақ-неміс университеті","город Алматы","Алматы қ.,   Пушкин көшесі, 111"
"Алматы","8 (727) 302-09-30","Алматы","Египетский университет исламской культуры «Нур-Мубарак»","Алматы қаласы","Алматы, пр. аль-Фараби, 73","50","«Нұр-Мүбарак» Мысыр ислам мәдениеті   университеті   ","город Алматы","Алматы қ., Әл-Фараби көшесі, 73"
"Алматы","8 (727) - 3871422","Алматы","Казахская автомобильно-дорожная академия имени Л.Б.Гончарова","Алматы қаласы","Алматы, ул. Ташкентская, 415 В","55","Л.Гончаров атындағы Қазақ автомобиль жолдары академиясы","город Алматы","Алматы қ.,   Ташкент көшесі, 415 В"
"Актобе","8 (7132) 540-619","Ақтөбе","Актюбинский государственный региональный университет им.К.Жубанова","Ақтөбе облысы","Актобе, ул. Молдагуловой, 34","60","Қ. Жұбанов атындағы Ақтөбе мемлекеттік өңірлік   университеті ","Актюбинская область","Ақтөбе қ.,  Ә.Молдағұлова көшесі, 34"
"Усть-Каменогорск","8 /7232/ 26-74-09","Өскемен","Восточно-Казахстанский государственный технический университет им. Д. Серикбаева","Шығыс Қазақстан облысы ","Усть-Каменогорск, ул. Протозанова, 69","67","Д.Серікбаев атындағы Шығыс Қазақстан мемлекеттік техникалық университеті  ","Восточно-Казахстанская область","Өскемен қ.,   Протозанов көшесі, 69"
"Семей","8 (7222) 321396","Семей","Казахский гуманитарно-юридический инновационный университет","Шығыс Қазақстан облысы ","Семей, ул. Ленина, 11","72","Қазақ гуманитарлық-заң инновациялық   университеті","Восточно-Казахстанская область","Семей қ.,   Ленин көшесі, 11"
"Уральск ","8(7112)50-13-74","Орал","Западно-Казахстанский аграрно-технический университет им.Жангир хана","Батыс Қазақстан облысы ","Уральск, ул. Жангир хана, 51","77","Жангір хан атындағы Батыс Қазақстан агротехникалық университеті","Западно-Казахстанская область","Орал қ., Жангір хан көшесі, 51"
"Караганда ","8(7212) 51-89-31","Қарағанды","Карагандинский государственный медицинский университет","Қарағанды облысы","Караганда, ул. Гоголя, 40","82","Қарағанды мемлекеттік медициналық  университеті","Карагандинская область","Қарағанды  қ.,   Гоголь көшесі, 40"
"Караганда ","8 (72-12) 478-007","Қарағанды","Центрально-Казахстанская академия","Қарағанды облысы","Караганда, ул. Пичугина, 259","87","Орталық-Қазақстан академиясы","Карагандинская область","Қарағанды  қ.   Пичугин көшесі, 259"
"Костанай","7142-53-04-55","Қостанай","Костанайский государственный педагогический институт","Қостанай облысы","Костанай, ул. Тауелсіздік, 118","91","Қостанай   мемлекеттік педагогикалық  институты","Костанайская область","Қостанай қ.,   Тәуелсіздік көшесі (Таран), 118"
"Кызылорда","8 /7242/  23-45-15","Қызылорда","Университет ""Болашак""","Қызылорда облысы","Кызылорда, пр. Абая, 31 а","96","«Болашақ» университеті","Кызылординская область","Қызылорда қ.,   Абай даңғылы, 31 а"
"Павлодар","8 (7182) 673707","Павлодар","Павлодарский государственный университет им.С.Торайгырова","Павлодар облысы","Павлодар, ул. Ломова, 64","101","С.Торайғыров атындағы Павлодар  мемлекеттік университеті  ","Павлодарская область","Павлодар қ.,   Ломов көшесі, 64  "
"Шымкент","8 (7252) 40-82-22","Шымкент","Южно-Казахстанская государственная фармацевтическая академия","Оңтүстік Қазақстан облысы","Шымкент, пр. аль-Фараби, 1","106","Оңтүстік Қазақстан мемлекеттік фармацевтикалық   академиясы","Южно-Казахстанская область","Шымкент қ.,   әл-Фараби даңғылы, 1"
"Шымкент","8 (7252) 35-91-77","Шымкент","Региональный социально-инновационный университет","Оңтүстік Қазақстан облысы","Шымкент, ул. Курманбекова, 4","111","Өңірлік әлеуметтік-инновациялық университет","Южно-Казахстанская область","Шымкент қ.,   Д. Құрманбеков көшесі,  4"
"Жетысай","8 (72534) 6-14-63","Жетісай","Университет ""Сырдария""","Оңтүстік Қазақстан облысы","Жетысай, ул. Ауэзова, 11","116","«Сырдария» университеті","Южно-Казахстанская область","Жетісай қ.,   М.Әуезов көшесі, 11"
"Астана","8 (7172) 75 32 68, 8 (7172) 75 31 17","Астана","Академия государственного управления при Президенте РК","Астана қаласы","Астана, ул. Абая, 33 а","5","Қазақстан Республикасы Президенті  жанындағы Мемлекеттік басқару академиясы  ","город Астана","Астана қ.,   Абай көш., 33 а,"
"Астана","8 (7172) 27-85-70","Астана","Казахский университет экономики, финансов и международной торговли","Астана қаласы","Астана, ул. Жубанова, 7","10","Қазақ экономика, қаржы және халықаралық сауда  университеті  ","город Астана","Астана қ.,   Жұбанов көшесі, 7"
"Кокшетау","8 (7162)  25 55 97","Көкшетау","Кокшетауский государственный университет им. Ш.Уалиханова","Ақмола облысы","Кокшетау, пр. Абая, 76","15","Ш.Уәлиханов атындағы Көкшетау  мемлекеттік   университеті   ","Акмолинская область","Көкшетау қ.  Абай көшесі, 76"
"Алматы","8 (7272) 338-70-30","Алматы","Казахский национальный медицинский университет им.С.Д.Асфендиярова","Алматы қаласы","Алматы, ул. Толе би, 88","20","С.Д.Асфендияров атындағы  Қазақ ұлттық медициналық   университеті ","город Алматы","Алматы қ.,  Төле би көшесі, 88"
"Алматы","8 (727) 292 18 33","Алматы","Казахский университет международных отношений и мировых языков им.Абылай хана","Алматы қаласы","Алматы, ул. Муратбаева, 200","29","Абылай хан атындағы  Қазақ халықаралық қатынастар және әлем  тілдері  университеті  ","город Алматы","Алматы қ.,   Муратбаев көшесі,200"
"Алматы"," 8 (727) 3096241","Алматы","Международная образовательная корпорация","Алматы қаласы","Алматы, ул. Рыскулбекова, 28","34","Халықаралық білім беру корпорациясы ","город Алматы","Алматы қ.,  Рысқұлбеков көшесі, 28"
"Алматы","8 /727/ 250-83-75, 250-95-57","Алматы","Казахстанско-Российский медицинский университет","Алматы қаласы","Алматы, ул. Торекулова, 71","39","Қазақстан-Ресей медициналық университеті","город Алматы","Алматы қ.,   Төреқұлов көшесі, 71"
"Алматы","8 (727) 2598020","Алматы","Университет международного бизнеса","Алматы қаласы","Алматы, пр. Абая, 8А","44","Халықаралық бизнес университеті","город Алматы","Алматы қ.,   Абай даңғылы, 8А"
"Алматы","8 (727) 3000777","Алматы","Казахстанский инженерно-технологический университет","Алматы қаласы","Алматы, пр. аль-Фараби, 93а","49","Қазақстан инженерлік-технологиялық университеті  ","город Алматы","Алматы қ.,   Әл-Фараби даңғылы, 93а"
"Алматы","8 (727) 313-30-54","Алматы","Алматы Менеджмент Университет","Алматы қаласы","Алматы, ул. Розыбакиева, 227","54","Алматы менеджмент университеті","город Алматы","Алматы қ.,    Розыбакиев көшесі, 227"
"Талдыкорган","8 (7282) 245-151","Талдықорған","Академия экономики и права им.академика О.А.Джолдасбекова","Алматы  облысы","Талдыкорган, ул. Тәуелсіздік, 77","59","О.Жолдасбеков атындағы экономика және құқық академиясы   ","Алматинская область","Талдықорған қ.,  Тәуелсіздік көшесі,77"
